case_id,advisory_id,package,primary_primitive,root_cause,root_cause_source,scope_status,status,outcome,representative_scenario_id,catalog_path,scenario_source_path,oracle_tool,mechanism,live_arm_count,reclaim_exact_signal_observed,layout_validation_signal_observed,typeiso_reuse_denial_observed,raw_exact_allocator_signal,implementation_digests,scope_review_required,blocker_reason,blocker_code,conclusion,probe_count,source_artifact
RSH-001,RUSTSEC-2019-0016,chttp,double_free,AddressSanitizer reports attempting double-free in free when the converted Vec drops,catalog_oracle.vulnerable,executable,completed,detected,RSH-001-upstream,evaluation/config/rustsec_heap_harnesses.json,evaluation/harnesses/rustsec_heap/RSH-001/main.rs,asan,reclaim_checks,2,true,false,false,true,"{""159806869e12b58903f0f941b016ff60fed6e53a842cca35b5434f54a3d9da09"":2}",false,,,feature_matched_exact_allocator_diagnostic,0,docs/evidence/rustsec-all-53-live-20260714/executable-replay-48.json
RSH-002,RUSTSEC-2020-0007,bitvec,use_after_free,AddressSanitizer reports double-free,catalog_oracle.vulnerable,executable,completed,detected,RSH-002-published,evaluation/config/rustsec_heap_harnesses.json,evaluation/harnesses/rustsec_heap/RSH-002/main.rs,asan,reclaim_checks,2,true,false,true,true,"{""36bc040455f8c5fa6142a91b2321bc9d018aad08764f7d8c8e5554b3e4460847"":2}",false,,,feature_matched_exact_allocator_diagnostic,0,docs/evidence/rustsec-all-53-live-20260714/executable-replay-48.json
RSH-003,RUSTSEC-2020-0017,internment,use_after_free,AddressSanitizer reports heap-use-after-free in ArcIntern::drop,catalog_oracle.vulnerable,executable,completed,inconclusive,RSH-003-upstream,evaluation/config/rustsec_heap_harnesses.json,evaluation/harnesses/rustsec_heap/RSH-003/main.rs,asan,type_isolation,2,false,false,false,false,"{""159806869e12b58903f0f941b016ff60fed6e53a842cca35b5434f54a3d9da09"":2}",false,,,compiler_critical_site_coverage_not_validated,0,docs/evidence/rustsec-all-53-live-20260714/executable-replay-48.json
RSH-005,RUSTSEC-2020-0047,array-queue,double_free,AddressSanitizer reports attempting double-free when the stale front Box is returned by the final pop_back,catalog_oracle.vulnerable,executable,completed,detected,RSH-005-rudra-heap-adapter,evaluation/config/rustsec_heap_strong_batch_d_harnesses.json,evaluation/harnesses/rustsec_heap_expansion/RSH-005/main.rs,asan,reclaim_checks,2,true,false,false,true,"{""36bc040455f8c5fa6142a91b2321bc9d018aad08764f7d8c8e5554b3e4460847"":2}",false,,,feature_matched_exact_allocator_diagnostic,0,docs/evidence/rustsec-all-53-live-20260714/executable-replay-48.json
RSH-006,RUSTSEC-2020-0091,arc-swap,use_after_free,Miri reports Undefined Behavior from a dangling reference when access::Map constructs the loaded guard,catalog_oracle.vulnerable,executable,completed,inconclusive,RSH-006-rudra,evaluation/config/rustsec_heap_strong_batch_d_harnesses.json,evaluation/harnesses/rustsec_heap_expansion/RSH-006/main.rs,miri,reclaim_checks,2,false,false,false,false,"{""36bc040455f8c5fa6142a91b2321bc9d018aad08764f7d8c8e5554b3e4460847"":2}",false,,,matched_evidence_requirements_not_met,0,docs/evidence/rustsec-all-53-live-20260714/executable-replay-48.json
RSH-008,RUSTSEC-2021-0130,lru,use_after_free,stale value and Replacement addresses are equal during clean reuse grooming,catalog_oracle.vulnerable,executable,completed,mitigated,RSH-008-derived-reuse,evaluation/config/rustsec_heap_harnesses.json,evaluation/harnesses/rustsec_heap/RSH-008/derived_reuse.rs,native_address_trace,type_isolation,2,false,false,true,true,"{""159806869e12b58903f0f941b016ff60fed6e53a842cca35b5434f54a3d9da09"":2}",false,,,matched_cross_identity_reuse_edge_blocked_and_reported,0,docs/evidence/rustsec-all-53-live-20260714/executable-replay-48.json
RSH-009,RUSTSEC-2021-0030,scratchpad,double_free,AddressSanitizer reports attempting double-free while unwinding from the supplied move_elements closure panic,catalog_oracle.vulnerable,executable,completed,detected,RSH-009-rudra-heap-adapter,evaluation/config/rustsec_heap_strong_batch_d_harnesses.json,evaluation/harnesses/rustsec_heap_expansion/RSH-009/main.rs,asan,reclaim_checks,2,true,false,false,true,"{""36bc040455f8c5fa6142a91b2321bc9d018aad08764f7d8c8e5554b3e4460847"":2}",false,,,feature_matched_exact_allocator_diagnostic,0,docs/evidence/rustsec-all-53-live-20260714/executable-replay-48.json
RSH-010,RUSTSEC-2021-0049,through,double_free,AddressSanitizer reports attempting double-free when through unwinds through duplicated String ownership,catalog_oracle.vulnerable,executable,completed,detected,RSH-010-rudra,evaluation/config/rustsec_heap_strong_batch_e_harnesses.json,evaluation/harnesses/rustsec_heap_expansion/RSH-010/main.rs,asan,reclaim_checks,2,true,false,false,true,"{""36bc040455f8c5fa6142a91b2321bc9d018aad08764f7d8c8e5554b3e4460847"":2}",false,,,feature_matched_exact_allocator_diagnostic,0,docs/evidence/rustsec-all-53-live-20260714/executable-replay-48.json
RSH-011,RUSTSEC-2019-0034,http,double_free,AddressSanitizer reports attempting double-free when a forgotten HeaderMap Drain leaves a moved Box entry owned by the map,catalog_oracle.vulnerable,executable,completed,detected,RSH-011-rudra,evaluation/config/rustsec_heap_strong_batch_e_harnesses.json,evaluation/harnesses/rustsec_heap_expansion/RSH-011/main.rs,asan,reclaim_checks,2,true,false,false,true,"{""36bc040455f8c5fa6142a91b2321bc9d018aad08764f7d8c8e5554b3e4460847"":2}",false,,,feature_matched_exact_allocator_diagnostic,0,docs/evidence/rustsec-all-53-live-20260714/executable-replay-48.json
RSH-012,RUSTSEC-2021-0052,id-map,double_free,AddressSanitizer reports attempting double-free when clone_from panics after dropping the destination Box while its id remains live,catalog_oracle.vulnerable,executable,completed,detected,RSH-012-rudra-clone-from,evaluation/config/rustsec_heap_strong_batch_e_harnesses.json,evaluation/harnesses/rustsec_heap_expansion/RSH-012/main.rs,asan,reclaim_checks,2,true,false,false,true,"{""36bc040455f8c5fa6142a91b2321bc9d018aad08764f7d8c8e5554b3e4460847"":2}",false,,,feature_matched_exact_allocator_diagnostic,0,docs/evidence/rustsec-all-53-live-20260714/executable-replay-48.json
